date,total_return_index,source_value,provider,symbol,source_field
2009-10-20,100,25.86,alpha-vantage,IWDA.LON,adjusted_close
2009-11-04,95.901005,24.8,alpha-vantage,IWDA.LON,adjusted_close
2009-12-18,98.41454,25.45,alpha-vantage,IWDA.LON,adjusted_close
2009-12-29,100.541377,26,alpha-vantage,IWDA.LON,adjusted_close
2010-01-22,99.071926,25.62,alpha-vantage,IWDA.LON,adjusted_close
2010-02-19,96.867749,25.05,alpha-vantage,IWDA.LON,adjusted_close
2010-03-01,97.254447,25.15,alpha-vantage,IWDA.LON,adjusted_close
2010-06-01,91.221964,23.59,alpha-vantage,IWDA.LON,adjusted_close
2010-06-09,90.873937,23.5,alpha-vantage,IWDA.LON,adjusted_close
2010-06-15,94.354215,24.4,alpha-vantage,IWDA.LON,adjusted_close
2010-07-21,94.547564,24.45,alpha-vantage,IWDA.LON,adjusted_close
2010-08-06,99.651972,25.77,alpha-vantage,IWDA.LON,adjusted_close
2010-08-17,96.249033,24.89,alpha-vantage,IWDA.LON,adjusted_close
2010-09-03,97.447796,25.2,alpha-vantage,IWDA.LON,adjusted_close
2010-09-06,98.259861,25.41,alpha-vantage,IWDA.LON,adjusted_close
2010-09-24,101.430781,26.23,alpha-vantage,IWDA.LON,adjusted_close
2010-10-08,103.596288,26.79,alpha-vantage,IWDA.LON,adjusted_close
2010-10-14,106.225831,27.47,alpha-vantage,IWDA.LON,adjusted_close
2010-10-20,105.529776,27.29,alpha-vantage,IWDA.LON,adjusted_close
2010-10-27,105.065739,27.17,alpha-vantage,IWDA.LON,adjusted_close
2010-11-05,109.164733,28.23,alpha-vantage,IWDA.LON,adjusted_close
2010-11-09,109.010054,28.19,alpha-vantage,IWDA.LON,adjusted_close
2010-11-18,106.41918,27.52,alpha-vantage,IWDA.LON,adjusted_close
2010-11-22,107.579273,27.82,alpha-vantage,IWDA.LON,adjusted_close
2010-11-25,105.800464,27.36,alpha-vantage,IWDA.LON,adjusted_close
2010-12-02,106.109822,27.44,alpha-vantage,IWDA.LON,adjusted_close
2010-12-08,107.733952,27.86,alpha-vantage,IWDA.LON,adjusted_close
2010-12-16,108.313998,28.01,alpha-vantage,IWDA.LON,adjusted_close
2010-12-23,109.860789,28.41,alpha-vantage,IWDA.LON,adjusted_close
2010-12-30,110.556845,28.59,alpha-vantage,IWDA.LON,adjusted_close
2011-01-13,112.490333,29.09,alpha-vantage,IWDA.LON,adjusted_close
2011-01-20,111.639598,28.87,alpha-vantage,IWDA.LON,adjusted_close
2011-01-25,113.379737,29.32,alpha-vantage,IWDA.LON,adjusted_close
2011-02-02,115.351895,29.83,alpha-vantage,IWDA.LON,adjusted_close
2011-02-11,114.771848,29.68,alpha-vantage,IWDA.LON,adjusted_close
2011-02-17,117.517401,30.39,alpha-vantage,IWDA.LON,adjusted_close
2011-02-24,114.50116,29.61,alpha-vantage,IWDA.LON,adjusted_close
2011-03-04,116.357309,30.09,alpha-vantage,IWDA.LON,adjusted_close
2011-03-07,117.092034,30.28,alpha-vantage,IWDA.LON,adjusted_close
2011-03-11,113.147718,29.26,alpha-vantage,IWDA.LON,adjusted_close
2011-03-18,111.716937,28.89,alpha-vantage,IWDA.LON,adjusted_close
2011-03-25,115.197216,29.79,alpha-vantage,IWDA.LON,adjusted_close
2011-03-28,114.849188,29.7,alpha-vantage,IWDA.LON,adjusted_close
2011-03-31,115.931941,29.98,alpha-vantage,IWDA.LON,adjusted_close
2011-04-07,116.821346,30.21,alpha-vantage,IWDA.LON,adjusted_close
2011-04-15,115.738592,29.93,alpha-vantage,IWDA.LON,adjusted_close
2011-04-20,117.440062,30.37,alpha-vantage,IWDA.LON,adjusted_close
2011-04-28,119.876257,31,alpha-vantage,IWDA.LON,adjusted_close
2011-05-04,120.340294,31.12,alpha-vantage,IWDA.LON,adjusted_close
2011-05-12,116.744006,30.19,alpha-vantage,IWDA.LON,adjusted_close
2011-05-16,116.550657,30.14,alpha-vantage,IWDA.LON,adjusted_close
2011-05-20,116.318639,30.08,alpha-vantage,IWDA.LON,adjusted_close
2011-05-27,116.976025,30.25,alpha-vantage,IWDA.LON,adjusted_close
2011-06-03,114.617169,29.64,alpha-vantage,IWDA.LON,adjusted_close
2011-06-07,115.197216,29.79,alpha-vantage,IWDA.LON,adjusted_close
2011-06-10,113.534416,29.36,alpha-vantage,IWDA.LON,adjusted_close
2011-06-17,112.412993,29.07,alpha-vantage,IWDA.LON,adjusted_close
2011-06-24,112.490333,29.09,alpha-vantage,IWDA.LON,adjusted_close
2011-07-01,117.208043,30.31,alpha-vantage,IWDA.LON,adjusted_close
2011-07-08,118.290797,30.59,alpha-vantage,IWDA.LON,adjusted_close
2011-07-14,115.119876,29.77,alpha-vantage,IWDA.LON,adjusted_close
2011-07-22,118.136118,30.55,alpha-vantage,IWDA.LON,adjusted_close
2011-07-29,113.573086,29.37,alpha-vantage,IWDA.LON,adjusted_close
2011-08-05,103.929621,26.8762,alpha-vantage,IWDA.LON,adjusted_close
2011-08-12,102.699149,26.558,alpha-vantage,IWDA.LON,adjusted_close
2011-08-19,98.839907,25.56,alpha-vantage,IWDA.LON,adjusted_close
2011-08-23,100.889404,26.09,alpha-vantage,IWDA.LON,adjusted_close
2011-08-26,100.618716,26.02,alpha-vantage,IWDA.LON,adjusted_close
2011-08-31,105.568445,27.3,alpha-vantage,IWDA.LON,adjusted_close
2011-09-08,103.132251,26.67,alpha-vantage,IWDA.LON,adjusted_close
2011-09-15,101.778809,26.32,alpha-vantage,IWDA.LON,adjusted_close
2011-09-23,94.547564,24.45,alpha-vantage,IWDA.LON,adjusted_close
2011-09-30,98.762568,25.54,alpha-vantage,IWDA.LON,adjusted_close
2011-10-03,95.282289,24.64,alpha-vantage,IWDA.LON,adjusted_close
2011-10-07,99.110596,25.63,alpha-vantage,IWDA.LON,adjusted_close
2011-10-14,103.789637,26.84,alpha-vantage,IWDA.LON,adjusted_close
2011-10-21,104.679041,27.07,alpha-vantage,IWDA.LON,adjusted_close
2011-10-28,110.131477,28.48,alpha-vantage,IWDA.LON,adjusted_close
2011-11-03,105.607115,27.31,alpha-vantage,IWDA.LON,adjusted_close
2011-11-10,104.331013,26.98,alpha-vantage,IWDA.LON,adjusted_close
2011-11-17,102.358855,26.47,alpha-vantage,IWDA.LON,adjusted_close
2011-11-25,97.022428,25.09,alpha-vantage,IWDA.LON,adjusted_close
2011-12-02,104.91106,27.13,alpha-vantage,IWDA.LON,adjusted_close
2011-12-09,103.636118,26.8003,alpha-vantage,IWDA.LON,adjusted_close
2011-12-16,100.502707,25.99,alpha-vantage,IWDA.LON,adjusted_close
2011-12-23,104.098995,26.92,alpha-vantage,IWDA.LON,adjusted_close
2011-12-29,101.198763,26.17,alpha-vantage,IWDA.LON,adjusted_close
2012-01-05,105.491106,27.28,alpha-vantage,IWDA.LON,adjusted_close
2012-01-10,106.38051,27.51,alpha-vantage,IWDA.LON,adjusted_close
2012-01-18,106.805878,27.62,alpha-vantage,IWDA.LON,adjusted_close
2012-01-27,110.286156,28.52,alpha-vantage,IWDA.LON,adjusted_close
2012-02-03,112.103635,28.99,alpha-vantage,IWDA.LON,adjusted_close
2012-02-09,112.95437,29.21,alpha-vantage,IWDA.LON,adjusted_close
2012-02-16,112.529002,29.1,alpha-vantage,IWDA.LON,adjusted_close
2012-02-23,114.037123,29.49,alpha-vantage,IWDA.LON,adjusted_close
2012-02-28,115.506574,29.87,alpha-vantage,IWDA.LON,adjusted_close
2012-03-02,114.655839,29.65,alpha-vantage,IWDA.LON,adjusted_close
2012-03-09,114.849188,29.7,alpha-vantage,IWDA.LON,adjusted_close
2012-03-16,116.434648,30.11,alpha-vantage,IWDA.LON,adjusted_close
2012-03-22,115.158546,29.78,alpha-vantage,IWDA.LON,adjusted_close
2012-03-30,116.589327,30.15,alpha-vantage,IWDA.LON,adjusted_close
2012-04-03,117.053364,30.27,alpha-vantage,IWDA.LON,adjusted_close
2012-04-13,112.490333,29.09,alpha-vantage,IWDA.LON,adjusted_close
2012-04-20,113.921114,29.46,alpha-vantage,IWDA.LON,adjusted_close
2012-04-24,112.799691,29.17,alpha-vantage,IWDA.LON,adjusted_close
2012-05-04,112.219644,29.02,alpha-vantage,IWDA.LON,adjusted_close
2012-05-10,111.21423,28.76,alpha-vantage,IWDA.LON,adjusted_close
2012-05-17,106.573859,27.56,alpha-vantage,IWDA.LON,adjusted_close
2012-05-22,106.728538,27.6,alpha-vantage,IWDA.LON,adjusted_close
2012-06-01,103.24826,26.7,alpha-vantage,IWDA.LON,adjusted_close
2012-06-07,106.651199,27.58,alpha-vantage,IWDA.LON,adjusted_close
2012-06-14,105.723125,27.34,alpha-vantage,IWDA.LON,adjusted_close
2012-06-22,107.115236,27.7,alpha-vantage,IWDA.LON,adjusted_close
2012-06-27,107.037896,27.68,alpha-vantage,IWDA.LON,adjusted_close
2012-07-02,110.518175,28.58,alpha-vantage,IWDA.LON,adjusted_close
2012-07-06,109.203403,28.24,alpha-vantage,IWDA.LON,adjusted_close
2012-07-09,109.126063,28.22,alpha-vantage,IWDA.LON,adjusted_close
2012-07-13,108.700696,28.11,alpha-vantage,IWDA.LON,adjusted_close
2012-07-16,109.435422,28.3,alpha-vantage,IWDA.LON,adjusted_close
2012-07-19,111.21423,28.76,alpha-vantage,IWDA.LON,adjusted_close
2012-07-23,107.347254,27.76,alpha-vantage,IWDA.LON,adjusted_close
2012-08-01,111.484919,28.83,alpha-vantage,IWDA.LON,adjusted_close
2012-08-10,113.457077,29.34,alpha-vantage,IWDA.LON,adjusted_close
2012-08-16,114.771848,29.68,alpha-vantage,IWDA.LON,adjusted_close
2012-08-24,114.926527,29.72,alpha-vantage,IWDA.LON,adjusted_close
2012-09-07,117.362722,30.35,alpha-vantage,IWDA.LON,adjusted_close
2012-09-14,120.881671,31.26,alpha-vantage,IWDA.LON,adjusted_close
2012-09-21,120.224285,31.09,alpha-vantage,IWDA.LON,adjusted_close
2012-09-28,117.053364,30.27,alpha-vantage,IWDA.LON,adjusted_close
2012-10-05,120.146945,31.07,alpha-vantage,IWDA.LON,adjusted_close
2012-10-12,116.744006,30.19,alpha-vantage,IWDA.LON,adjusted_close
2012-10-19,119.102862,30.8,alpha-vantage,IWDA.LON,adjusted_close
2012-10-25,116.279969,30.07,alpha-vantage,IWDA.LON,adjusted_close
2012-11-02,117.622583,30.4172,alpha-vantage,IWDA.LON,adjusted_close
2012-11-09,114.50116,29.61,alpha-vantage,IWDA.LON,adjusted_close
2012-11-16,112.83836,29.18,alpha-vantage,IWDA.LON,adjusted_close
2012-11-23,116.395978,30.1,alpha-vantage,IWDA.LON,adjusted_close
2012-11-26,116.860015,30.22,alpha-vantage,IWDA.LON,adjusted_close
2012-11-30,118.097448,30.54,alpha-vantage,IWDA.LON,adjusted_close
2012-12-06,118.058778,30.53,alpha-vantage,IWDA.LON,adjusted_close
2012-12-14,119.180201,30.82,alpha-vantage,IWDA.LON,adjusted_close
2012-12-21,120.533643,31.17,alpha-vantage,IWDA.LON,adjusted_close
2013-01-04,122.853828,31.77,alpha-vantage,IWDA.LON,adjusted_close
2013-01-10,123.279196,31.88,alpha-vantage,IWDA.LON,adjusted_close
2013-01-18,124.555298,32.21,alpha-vantage,IWDA.LON,adjusted_close
2013-01-25,125.986079,32.58,alpha-vantage,IWDA.LON,adjusted_close
2013-02-01,127.45553,32.96,alpha-vantage,IWDA.LON,adjusted_close
2013-02-04,126.256767,32.65,alpha-vantage,IWDA.LON,adjusted_close
2013-02-07,125.328693,32.41,alpha-vantage,IWDA.LON,adjusted_close
2013-02-15,127.184841,32.89,alpha-vantage,IWDA.LON,adjusted_close
2013-02-22,126.018175,32.5883,alpha-vantage,IWDA.LON,adjusted_close
2013-03-01,125.8314,32.54,alpha-vantage,IWDA.LON,adjusted_close
2013-03-08,129.311678,33.44,alpha-vantage,IWDA.LON,adjusted_close
2013-03-15,129.891725,33.59,alpha-vantage,IWDA.LON,adjusted_close
2013-03-22,128.924981,33.34,alpha-vantage,IWDA.LON,adjusted_close
2013-03-28,129.659706,33.53,alpha-vantage,IWDA.LON,adjusted_close
2013-04-05,127.41686,32.95,alpha-vantage,IWDA.LON,adjusted_close
2013-04-12,130.935808,33.86,alpha-vantage,IWDA.LON,adjusted_close
2013-04-19,128.383604,33.2,alpha-vantage,IWDA.LON,adjusted_close
2013-04-26,131.825213,34.09,alpha-vantage,IWDA.LON,adjusted_close
2013-05-03,134.377417,34.75,alpha-vantage,IWDA.LON,adjusted_close
2013-05-10,135.228152,34.97,alpha-vantage,IWDA.LON,adjusted_close
2013-05-17,136.890951,35.4,alpha-vantage,IWDA.LON,adjusted_close
2013-05-24,134.841454,34.87,alpha-vantage,IWDA.LON,adjusted_close
2013-05-31,134.822119,34.865,alpha-vantage,IWDA.LON,adjusted_close
2013-06-07,133.739366,34.585,alpha-vantage,IWDA.LON,adjusted_close
2013-06-14,133.255994,34.46,alpha-vantage,IWDA.LON,adjusted_close
2013-06-21,128.615623,33.26,alpha-vantage,IWDA.LON,adjusted_close
2013-06-28,130.568445,33.765,alpha-vantage,IWDA.LON,adjusted_close
2013-07-05,131.225831,33.935,alpha-vantage,IWDA.LON,adjusted_close
2013-07-12,135.982212,35.165,alpha-vantage,IWDA.LON,adjusted_close
2013-07-19,137.664346,35.6,alpha-vantage,IWDA.LON,adjusted_close
2013-07-26,137.12297,35.46,alpha-vantage,IWDA.LON,adjusted_close
2013-08-02,139.114462,35.975,alpha-vantage,IWDA.LON,adjusted_close
2013-08-09,138.611756,35.845,alpha-vantage,IWDA.LON,adjusted_close
2013-08-16,137.548337,35.57,alpha-vantage,IWDA.LON,adjusted_close
2013-08-23,137.200309,35.48,alpha-vantage,IWDA.LON,adjusted_close
2013-08-30,134.145398,34.69,alpha-vantage,IWDA.LON,adjusted_close
2013-09-06,137.296984,35.505,alpha-vantage,IWDA.LON,adjusted_close
2013-09-13,140.003867,36.205,alpha-vantage,IWDA.LON,adjusted_close
2013-09-20,143.310131,37.06,alpha-vantage,IWDA.LON,adjusted_close
2013-09-27,141.87935,36.69,alpha-vantage,IWDA.LON,adjusted_close
2013-10-04,140.970611,36.455,alpha-vantage,IWDA.LON,adjusted_close
2013-10-11,142.034029,36.73,alpha-vantage,IWDA.LON,adjusted_close
2013-10-18,145.881671,37.725,alpha-vantage,IWDA.LON,adjusted_close
2013-10-25,146.945089,38,alpha-vantage,IWDA.LON,adjusted_close
2013-11-01,145.862336,37.72,alpha-vantage,IWDA.LON,adjusted_close
2013-11-08,145.823666,37.71,alpha-vantage,IWDA.LON,adjusted_close
2013-11-15,148.491879,38.4,alpha-vantage,IWDA.LON,adjusted_close
2013-11-22,148.472544,38.395,alpha-vantage,IWDA.LON,adjusted_close
2013-11-29,149.535963,38.67,alpha-vantage,IWDA.LON,adjusted_close
2013-12-06,147.776489,38.215,alpha-vantage,IWDA.LON,adjusted_close
2013-12-13,145.417633,37.605,alpha-vantage,IWDA.LON,adjusted_close
2013-12-20,149.226605,38.59,alpha-vantage,IWDA.LON,adjusted_close
2013-12-24,150.212684,38.845,alpha-vantage,IWDA.LON,adjusted_close
2013-12-27,151.778809,39.25,alpha-vantage,IWDA.LON,adjusted_close
2014-01-03,150.79273,38.995,alpha-vantage,IWDA.LON,adjusted_close
2014-01-10,151.334107,39.135,alpha-vantage,IWDA.LON,adjusted_close
2014-01-17,152.33952,39.395,alpha-vantage,IWDA.LON,adjusted_close
2014-01-24,148.472544,38.395,alpha-vantage,IWDA.LON,adjusted_close
2014-01-31,146.655066,37.925,alpha-vantage,IWDA.LON,adjusted_close
2014-02-07,147.447796,38.13,alpha-vantage,IWDA.LON,adjusted_close
