date,total_return_index,source_value,provider,symbol,source_field
2008-07-03,100,33.2599,alpha-vantage,VT,adjusted_close
2008-07-11,98.226994,32.6702,alpha-vantage,VT,adjusted_close
2008-07-18,99.517437,33.0994,alpha-vantage,VT,adjusted_close
2008-07-25,99.381538,33.0542,alpha-vantage,VT,adjusted_close
2008-08-01,98.804266,32.8622,alpha-vantage,VT,adjusted_close
2008-08-08,99.422728,33.0679,alpha-vantage,VT,adjusted_close
2008-08-15,97.897167,32.5605,alpha-vantage,VT,adjusted_close
2008-08-22,97.569445,32.4515,alpha-vantage,VT,adjusted_close
2008-08-29,97.546896,32.444,alpha-vantage,VT,adjusted_close
2008-09-05,91.05319,30.2842,alpha-vantage,VT,adjusted_close
2008-09-12,93.011705,30.9356,alpha-vantage,VT,adjusted_close
2008-09-19,95.670763,31.82,alpha-vantage,VT,adjusted_close
2008-09-26,93.320786,31.0384,alpha-vantage,VT,adjusted_close
2008-10-03,81.941918,27.2538,alpha-vantage,VT,adjusted_close
2008-10-10,67.573565,22.4749,alpha-vantage,VT,adjusted_close
2008-10-17,69.738033,23.1948,alpha-vantage,VT,adjusted_close
2008-10-24,64.254553,21.371,alpha-vantage,VT,adjusted_close
2008-10-31,69.655351,23.1673,alpha-vantage,VT,adjusted_close
2008-11-07,68.680904,22.8432,alpha-vantage,VT,adjusted_close
2008-11-14,63.017928,20.9597,alpha-vantage,VT,adjusted_close
2008-11-21,59.183581,19.6844,alpha-vantage,VT,adjusted_close
2008-11-28,64.914507,21.5905,alpha-vantage,VT,adjusted_close
2008-12-05,63.265374,21.042,alpha-vantage,VT,adjusted_close
2008-12-12,65.862495,21.9058,alpha-vantage,VT,adjusted_close
2008-12-19,66.213067,22.0224,alpha-vantage,VT,adjusted_close
2008-12-26,65.872417,21.9091,alpha-vantage,VT,adjusted_close
2009-01-02,70.270807,23.372,alpha-vantage,VT,adjusted_close
2009-01-09,66.789437,22.2141,alpha-vantage,VT,adjusted_close
2009-01-16,63.756055,21.2052,alpha-vantage,VT,adjusted_close
2009-01-23,61.12135,20.3289,alpha-vantage,VT,adjusted_close
2009-01-30,60.996876,20.2875,alpha-vantage,VT,adjusted_close
2009-02-06,64.731403,21.5296,alpha-vantage,VT,adjusted_close
2009-02-13,61.598501,20.4876,alpha-vantage,VT,adjusted_close
2009-02-20,56.017607,18.6314,alpha-vantage,VT,adjusted_close
2009-02-27,55.187478,18.3553,alpha-vantage,VT,adjusted_close
2009-03-06,51.722946,17.203,alpha-vantage,VT,adjusted_close
2009-03-13,58.092177,19.3214,alpha-vantage,VT,adjusted_close
2009-03-20,58.486345,19.4525,alpha-vantage,VT,adjusted_close
2009-03-27,61.370299,20.4117,alpha-vantage,VT,adjusted_close
2009-04-03,64.212761,21.3571,alpha-vantage,VT,adjusted_close
2009-04-09,65.270792,21.709,alpha-vantage,VT,adjusted_close
2009-04-17,66.204348,22.0195,alpha-vantage,VT,adjusted_close
2009-04-24,66.287331,22.0471,alpha-vantage,VT,adjusted_close
2009-05-01,68.092508,22.6475,alpha-vantage,VT,adjusted_close
2009-05-08,73.113269,24.3174,alpha-vantage,VT,adjusted_close
2009-05-15,69.461724,23.1029,alpha-vantage,VT,adjusted_close
2009-05-22,71.9927,23.9447,alpha-vantage,VT,adjusted_close
2009-05-29,74.440994,24.759,alpha-vantage,VT,adjusted_close
2009-06-05,75.270822,25.035,alpha-vantage,VT,adjusted_close
2009-06-12,76.287662,25.3732,alpha-vantage,VT,adjusted_close
2009-06-19,73.030286,24.2898,alpha-vantage,VT,adjusted_close
2009-06-26,73.797877,24.5451,alpha-vantage,VT,adjusted_close
2009-07-02,72.262695,24.0345,alpha-vantage,VT,adjusted_close
2009-07-10,70.810195,23.5514,alpha-vantage,VT,adjusted_close
2009-07-17,75.66499,25.1661,alpha-vantage,VT,adjusted_close
2009-07-24,79.254297,26.3599,alpha-vantage,VT,adjusted_close
2009-07-31,80.561577,26.7947,alpha-vantage,VT,adjusted_close
2009-08-07,81.993031,27.2708,alpha-vantage,VT,adjusted_close
2009-08-14,81.661099,27.1604,alpha-vantage,VT,adjusted_close
2009-08-21,83.237773,27.6848,alpha-vantage,VT,adjusted_close
2009-08-28,83.528213,27.7814,alpha-vantage,VT,adjusted_close
2009-09-04,82.988824,27.602,alpha-vantage,VT,adjusted_close
2009-09-11,86.059489,28.6233,alpha-vantage,VT,adjusted_close
2009-09-18,88.092568,29.2995,alpha-vantage,VT,adjusted_close
2009-09-25,85.997252,28.6026,alpha-vantage,VT,adjusted_close
2009-10-02,84.378786,28.0643,alpha-vantage,VT,adjusted_close
2009-10-09,88.341516,29.3823,alpha-vantage,VT,adjusted_close
2009-10-16,89.752525,29.8516,alpha-vantage,VT,adjusted_close
2009-10-23,89.399848,29.7343,alpha-vantage,VT,adjusted_close
2009-10-30,84.856238,28.2231,alpha-vantage,VT,adjusted_close
2009-11-06,87.573925,29.127,alpha-vantage,VT,adjusted_close
2009-11-13,90.167439,29.9896,alpha-vantage,VT,adjusted_close
2009-11-20,89.275374,29.6929,alpha-vantage,VT,adjusted_close
2009-11-27,88.984934,29.5963,alpha-vantage,VT,adjusted_close
2009-12-04,90.976521,30.2587,alpha-vantage,VT,adjusted_close
2009-12-11,90.022219,29.9413,alpha-vantage,VT,adjusted_close
2009-12-18,89.213137,29.6722,alpha-vantage,VT,adjusted_close
2009-12-24,91.250425,30.3498,alpha-vantage,VT,adjusted_close
2009-12-31,90.766058,30.1887,alpha-vantage,VT,adjusted_close
2010-01-08,93.883325,31.2255,alpha-vantage,VT,adjusted_close
2010-01-15,93.061915,30.9523,alpha-vantage,VT,adjusted_close
2010-01-22,88.385714,29.397,alpha-vantage,VT,adjusted_close
2010-01-29,86.131648,28.6473,alpha-vantage,VT,adjusted_close
2010-02-05,84.594061,28.1359,alpha-vantage,VT,adjusted_close
2010-02-12,85.984323,28.5983,alpha-vantage,VT,adjusted_close
2010-02-19,88.385714,29.397,alpha-vantage,VT,adjusted_close
2010-02-26,87.922393,29.2429,alpha-vantage,VT,adjusted_close
2010-03-05,91.524328,30.4409,alpha-vantage,VT,adjusted_close
2010-03-12,92.38783,30.7281,alpha-vantage,VT,adjusted_close
2010-03-19,92.38783,30.7281,alpha-vantage,VT,adjusted_close
2010-03-26,92.766966,30.8542,alpha-vantage,VT,adjusted_close
2010-04-01,94.936545,31.5758,alpha-vantage,VT,adjusted_close
2010-04-09,96.010812,31.9331,alpha-vantage,VT,adjusted_close
2010-04-16,95.273588,31.6879,alpha-vantage,VT,adjusted_close
2010-04-23,96.031858,31.9401,alpha-vantage,VT,adjusted_close
2010-04-30,93.356565,31.0503,alpha-vantage,VT,adjusted_close
