date,provider,symbol,open,high,low,close,adjusted_close,volume,dividend_amount
2008-07-03,alpha-vantage,VT,49.5,51.72,47.74,48.51,33.2599,171300,0
2008-07-11,alpha-vantage,VT,48.7,49.39,47.1701,47.65,32.6702,182000,0
2008-07-18,alpha-vantage,VT,48.8,48.8,46.3399,48.276,33.0994,130700,0
2008-07-25,alpha-vantage,VT,48.89,49.47,47.92,48.21,33.0542,143600,0
2008-08-01,alpha-vantage,VT,48.15,50.02,46.01,47.93,32.8622,186200,0
2008-08-08,alpha-vantage,VT,47.25,48.93,47.073,48.23,33.0679,170400,0
2008-08-15,alpha-vantage,VT,48.45,48.64,46.14,47.49,32.5605,222000,0
2008-08-22,alpha-vantage,VT,47.95,47.95,46.2,47.331,32.4515,112300,0
2008-08-29,alpha-vantage,VT,46.2,48.13,46.19,47.32,32.444,168700,0
2008-09-05,alpha-vantage,VT,47.32,47.69,43.68,44.17,30.2842,249300,0
2008-09-12,alpha-vantage,VT,46.7,46.7,43.616,45.12,30.9356,238200,0
2008-09-19,alpha-vantage,VT,44.4,46.41,35.85,46.41,31.82,577600,0
2008-09-26,alpha-vantage,VT,46.4,47,43.35,45.27,31.0384,347600,0
2008-10-03,alpha-vantage,VT,44.65,46,39.75,39.75,27.2538,552800,0
2008-10-10,alpha-vantage,VT,39.6,39.6,30.87,32.78,22.4749,993200,0
2008-10-17,alpha-vantage,VT,38.25,39.47,31,33.83,23.1948,1025900,0
2008-10-24,alpha-vantage,VT,34.2,36.2,29,31.1699,21.371,773500,0
2008-10-31,alpha-vantage,VT,29.87,34.55,29.3,33.7899,23.1673,434200,0
2008-11-07,alpha-vantage,VT,34.65,35.99,31.723,33.3172,22.8432,681300,0
2008-11-14,alpha-vantage,VT,34.28,34.28,29.3296,30.57,20.9597,673900,0
2008-11-21,alpha-vantage,VT,31.2,31.5,26.6,28.71,19.6844,1064400,0
2008-11-28,alpha-vantage,VT,29.47,31.63,29,31.49,21.5905,549100,0
2008-12-05,alpha-vantage,VT,30.92,30.92,28.75,30.69,21.042,1019700,0
2008-12-12,alpha-vantage,VT,31.84,32.56,30.8,31.95,21.9058,1295500,0
2008-12-19,alpha-vantage,VT,32.51,34.66,31.17,32.12,22.0224,1110300,0
2008-12-26,alpha-vantage,VT,33.65,33.65,30.91,31.75,21.9091,1001200,0.203
2009-01-02,alpha-vantage,VT,31.55,33.97,31.36,33.87,23.372,1001000,0
2009-01-09,alpha-vantage,VT,34.75,34.75,32.19,32.192,22.2141,744100,0
2009-01-16,alpha-vantage,VT,32.3,32.3,29.3,30.73,21.2052,600000,0
2009-01-23,alpha-vantage,VT,31.99,31.99,28.37,29.46,20.3289,480800,0
2009-01-30,alpha-vantage,VT,29.52,31.3,29.3,29.4,20.2875,500600,0
2009-02-06,alpha-vantage,VT,29,31.208,28.89,31.2,21.5296,367200,0
2009-02-13,alpha-vantage,VT,31.47,31.49,29,29.69,20.4876,284600,0
2009-02-20,alpha-vantage,VT,28.66,28.68,26.92,27,18.6314,640800,0
2009-02-27,alpha-vantage,VT,27.65,27.74,26.3,26.6,18.3553,782800,0
2009-03-06,alpha-vantage,VT,26.23,26.42,24.36,24.93,17.203,499400,0
2009-03-13,alpha-vantage,VT,24.77,28,24.4,28,19.3214,515900,0
2009-03-20,alpha-vantage,VT,28.03,29.72,27,28.19,19.4525,505000,0
2009-03-27,alpha-vantage,VT,28.81,30.4524,28.81,29.58,20.4117,886300,0
2009-04-03,alpha-vantage,VT,28.78,31.34,27.5,30.95,21.3571,755800,0
2009-04-09,alpha-vantage,VT,31.2,31.48,29.83,31.46,21.709,283400,0
2009-04-17,alpha-vantage,VT,31.5,32.17,30.84,31.91,22.0195,424200,0
2009-04-24,alpha-vantage,VT,32.2,32.27,30.05,31.95,22.0471,451900,0
2009-05-01,alpha-vantage,VT,31.49,32.989,30.85,32.82,22.6475,380700,0
2009-05-08,alpha-vantage,VT,33.68,35.35,33.15,35.24,24.3174,632200,0
2009-05-15,alpha-vantage,VT,35.69,35.69,33.26,33.48,23.1029,259800,0
2009-05-22,alpha-vantage,VT,34.18,35.629,33.91,34.7,23.9447,965200,0
2009-05-29,alpha-vantage,VT,34.38,35.88,33.89,35.88,24.759,202900,0
2009-06-05,alpha-vantage,VT,35.96,37.18,35.7401,36.28,25.035,356000,0
2009-06-12,alpha-vantage,VT,35.96,37.25,35.52,36.77,25.3732,338900,0
2009-06-19,alpha-vantage,VT,36.64,36.64,34.64,35.2,24.2898,496300,0
2009-06-26,alpha-vantage,VT,35.11,36.59,34.12,35.57,24.5451,214600,0
2009-07-02,alpha-vantage,VT,35.78,36.1,34.8254,34.83,24.0345,311900,0
2009-07-10,alpha-vantage,VT,34.37,34.83,33.44,34.13,23.5514,448800,0
2009-07-17,alpha-vantage,VT,34.2,36.5446,33.72,36.47,25.1661,817400,0
2009-07-24,alpha-vantage,VT,37.02,38.25,36.78,38.2,26.3599,1399200,0
2009-07-31,alpha-vantage,VT,38.25,39.07,37.598,38.83,26.7947,268900,0
2009-08-07,alpha-vantage,VT,39.56,39.8,39,39.52,27.2708,511800,0
2009-08-14,alpha-vantage,VT,39.52,40.02,38.64,39.36,27.1604,511200,0
2009-08-21,alpha-vantage,VT,38.39,40.239,37.82,40.12,27.6848,459900,0
2009-08-28,alpha-vantage,VT,40.17,40.8,39.65,40.26,27.7814,1707200,0
2009-09-04,alpha-vantage,VT,40.57,40.57,38.73,40,27.602,734800,0
2009-09-11,alpha-vantage,VT,40.87,41.77,40.5,41.48,28.6233,360300,0
2009-09-18,alpha-vantage,VT,42.01,43,41.08,42.46,29.2995,503400,0
2009-09-25,alpha-vantage,VT,42,43,41.2608,41.45,28.6026,1163100,0
2009-10-02,alpha-vantage,VT,41.56,42.34,40,40.67,28.0643,1559200,0
2009-10-09,alpha-vantage,VT,40.73,42.71,40.596,42.58,29.3823,1498000,0
2009-10-16,alpha-vantage,VT,42.64,43.78,42.39,43.26,29.8516,427900,0
2009-10-23,alpha-vantage,VT,43.53,44.06,42.85,43.09,29.7343,695600,0
2009-10-30,alpha-vantage,VT,43.27,43.57,40.7,40.9,28.2231,706100,0
2009-11-06,alpha-vantage,VT,41.13,42.25,40.63,42.21,29.127,1043900,0
2009-11-13,alpha-vantage,VT,43.03,43.8806,42.79,43.46,29.9896,624100,0
2009-11-20,alpha-vantage,VT,43.87,47.43,42.75,43.03,29.6929,560000,0
2009-11-27,alpha-vantage,VT,43.75,44.05,42.07,42.89,29.5963,932400,0
2009-12-04,alpha-vantage,VT,43.21,44.51,42.678,43.85,30.2587,749100,0
2009-12-11,alpha-vantage,VT,43.83,43.96,42.67,43.39,29.9413,371300,0
2009-12-18,alpha-vantage,VT,43.71,43.8825,42.55,43,29.6722,1254100,0
2009-12-24,alpha-vantage,VT,43.29,43.78,43.11,43.32,30.3498,393700,0.662
2009-12-31,alpha-vantage,VT,43.56,44.49,43.03,43.09,30.1887,434600,0
2010-01-08,alpha-vantage,VT,43.73,44.57,43.55,44.57,31.2255,2463900,0
2010-01-15,alpha-vantage,VT,44.85,44.93,43.9,44.18,30.9523,1438700,0
2010-01-22,alpha-vantage,VT,44.22,44.7,41.83,41.96,29.397,1567600,0
2010-01-29,alpha-vantage,VT,42.39,42.5681,40.7,40.89,28.6473,969800,0
