date,provider,symbol,open,high,low,close,adjusted_close,volume,dividend_amount
2008-07-03,alpha-vantage,VT,49.5,51.72,47.74,48.51,33.1416,171300,0
2008-07-11,alpha-vantage,VT,48.7,49.39,47.1701,47.65,32.554,182000,0
2008-07-18,alpha-vantage,VT,48.8,48.8,46.3399,48.276,32.9817,130700,0
2008-07-25,alpha-vantage,VT,48.89,49.47,47.92,48.21,32.9366,143600,0
2008-08-01,alpha-vantage,VT,48.15,50.02,46.01,47.93,32.7453,186200,0
2008-08-08,alpha-vantage,VT,47.25,48.93,47.073,48.23,32.9503,170400,0
2008-08-15,alpha-vantage,VT,48.45,48.64,46.14,47.49,32.4447,222000,0
2008-08-22,alpha-vantage,VT,47.95,47.95,46.2,47.331,32.3361,112300,0
2008-08-29,alpha-vantage,VT,46.2,48.13,46.19,47.32,32.3286,168700,0
2008-09-05,alpha-vantage,VT,47.32,47.69,43.68,44.17,30.1765,249300,0
2008-09-12,alpha-vantage,VT,46.7,46.7,43.616,45.12,30.8256,238200,0
2008-09-19,alpha-vantage,VT,44.4,46.41,35.85,46.41,31.7069,577600,0
2008-09-26,alpha-vantage,VT,46.4,47,43.35,45.27,30.928,347600,0
2008-10-03,alpha-vantage,VT,44.65,46,39.75,39.75,27.1568,552800,0
2008-10-10,alpha-vantage,VT,39.6,39.6,30.87,32.78,22.395,993200,0
2008-10-17,alpha-vantage,VT,38.25,39.47,31,33.83,23.1123,1025900,0
2008-10-24,alpha-vantage,VT,34.2,36.2,29,31.1699,21.295,773500,0
2008-10-31,alpha-vantage,VT,29.87,34.55,29.3,33.7899,23.0849,434200,0
2008-11-07,alpha-vantage,VT,34.65,35.99,31.723,33.3172,22.762,681300,0
2008-11-14,alpha-vantage,VT,34.28,34.28,29.3296,30.57,20.8851,673900,0
2008-11-21,alpha-vantage,VT,31.2,31.5,26.6,28.71,19.6144,1064400,0
2008-11-28,alpha-vantage,VT,29.47,31.63,29,31.49,21.5137,549100,0
2008-12-05,alpha-vantage,VT,30.92,30.92,28.75,30.69,20.9671,1019700,0
2008-12-12,alpha-vantage,VT,31.84,32.56,30.8,31.95,21.8279,1295500,0
2008-12-19,alpha-vantage,VT,32.51,34.66,31.17,32.12,21.9441,1110300,0
2008-12-26,alpha-vantage,VT,33.65,33.65,30.91,31.75,21.8312,1001200,0.203
2009-01-02,alpha-vantage,VT,31.55,33.97,31.36,33.87,23.2889,1001000,0
2009-01-09,alpha-vantage,VT,34.75,34.75,32.19,32.192,22.1351,744100,0
2009-01-16,alpha-vantage,VT,32.3,32.3,29.3,30.73,21.1298,600000,0
2009-01-23,alpha-vantage,VT,31.99,31.99,28.37,29.46,20.2566,480800,0
2009-01-30,alpha-vantage,VT,29.52,31.3,29.3,29.4,20.2153,500600,0
2009-02-06,alpha-vantage,VT,29,31.208,28.89,31.2,21.453,367200,0
2009-02-13,alpha-vantage,VT,31.47,31.49,29,29.69,20.4147,284600,0
2009-02-20,alpha-vantage,VT,28.66,28.68,26.92,27,18.5651,640800,0
2009-02-27,alpha-vantage,VT,27.65,27.74,26.3,26.6,18.2901,782800,0
2009-03-06,alpha-vantage,VT,26.23,26.42,24.36,24.93,17.1418,499400,0
2009-03-13,alpha-vantage,VT,24.77,28,24.4,28,19.2527,515900,0
